"","ID","livebirths","ALB","AFB","ALBna","age","agesq","year","wealth","wealthz","mobility","subsist","population","edu","contra","propag","proppast","propcult","propHG","proplab","propfish","propagz","proppastz","propcultz","propHGz","proplabz","propfishz","unitpropcult","unitpropHG","unitproplab","unitpropag","unitproppast","unitpropfish","unitpropcultz","unitpropHGz","unitproplabz","unitpropagz","unitproppastz","unitpropfishz","residence","income","market","occ1","occ2","partocc","land","livestock","dietpropmarket","dietpropHG","dietpropfarm","dietpropfish","dietproppast","urban","residencesub","agediff","ageissue","age1","agediff1","ageissue2"
"56","A62541","5",29.333333333,"18.41666667",NA,30,900,2014,0.18,-1.59363699543765,0,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,4.942,"0",NA,NA,NA,NA,0,"transition","farm",0.666666667000001,0,30,0.666666667000001,0
"57","A62547","9",37.416666667,"21.83333333",NA,39,1521,2014,1.66,-0.393767863195842,0,"HG","Agta",0,"0",0,0,0,0,1,0,0,0,-0.479188828588927,-0.710686284614282,2.14858127910052,-1.02502484077961,0,0.1875,0.625,0,0,0.1875,-0.510439117576417,-0.111835752275384,1.48392888902028,0,0,-0.788501873232895,"village",0,"low",NA,NA,NA,0,"0",NA,NA,NA,NA,0,"transition","farm",1.583333333,0,39,1.583333333,0
"58","A62548","0",NA,NA,NA,17,289,2014,1.66,-0.393767863195842,1,"HG","Agta",0,"0",0,0,0.214285714285714,0,0.785714285714286,0,0,0,0.527730748239068,-0.710686284614282,1.51493457407057,-1.02502484077961,0.214285714285714,0,0.785714285714286,0,0,0,0.55377832198229,-0.757588851553124,2.06329534462231,0,0,-1.32342315278667,"village",0,"low",NA,NA,NA,0,"0",NA,NA,NA,NA,0,"transition","farm",NA,NA,NA,NA,0
"59","A62557","5",34.333333333,"25.41666667",NA,38,1444,2014,1.2,-0.766700161054783,0,"HG","Agta",0,"0",0,0,0.5,0,0.5,0,0,0,1.87029018400973,-0.710686284614282,0.670072300697298,-1.02502484077961,0.5,0,0.5,0,0,0,1.97273490806057,-0.757588851553124,1.03331053466315,0,0,-1.32342315278667,"village",0,"low",NA,NA,NA,0,"0",NA,NA,NA,NA,0,"transition","farm",3.666666667,0,38,3.666666667,0
"60","A62564","6",41,"14",41,41,1681,2014,2.06,-0.069478908535894,0,"HG","Agta",0,"0",0,0,0.375,0.125,0.5,0,0,0,1.28292043086006,-0.321930275680938,0.670072300697298,-1.02502484077961,0.220833333333333,0.4625,0.316666666666667,0,0,0,0.586296077079917,0.835268793331968,0.372403614939353,0,0,-1.32342315278667,"village",0,"low",NA,NA,NA,7.413,"0",NA,NA,NA,NA,0,"transition","farm",0,0,41,0,0
"62","A62576","0",NA,NA,NA,19,361,2014,2.32,0.141308911993072,0,"HG","Agta",0,"0",0,0,0.444444444444444,0,0.555555555555556,0,0,0,1.60923696038766,-0.710686284614282,0.834351076075434,-1.02502484077961,0.444444444444444,0,0.555555555555556,0,0,0,1.69682668298979,-0.757588851553124,1.23358535882188,0,0,-1.32342315278667,"village",0,"low",NA,NA,NA,4.942,"0",NA,NA,NA,NA,0,"transition","farm",NA,NA,NA,NA,0
"64","A642158","0",NA,NA,NA,19.4,376.36,2014,NA,NA,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,4.942,"0",NA,NA,NA,NA,0,"transition","farm",NA,NA,NA,NA,0
"65","A642159","7",NA,NA,NA,39,1521,2014,NA,NA,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,4.942,"0",NA,NA,NA,NA,0,"transition","farm",NA,NA,NA,NA,NA
"66","A64377","9",38.083333333,"16.16666667",NA,39,1521,2014,NA,NA,0,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,0,"0",NA,NA,NA,NA,0,"transition","farm",0.916666667000001,0,39,0.916666667000001,0
"67","A64379","1",NA,NA,NA,21,441,2014,NA,NA,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,0,"0",NA,NA,NA,NA,0,"transition","farm",NA,NA,NA,NA,0
"68","A64385","6",31.25,"22",NA,33,1089,2014,NA,NA,0,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,0,"0",NA,NA,NA,NA,0,"transition","farm",1.75,0,33,1.75,0
"69","A64390","6",35.453333333,"21.20333333",NA,37.37,1396.5169,2014,NA,NA,0,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",35,"low",NA,NA,NA,6.1775,"0",NA,NA,NA,NA,0,"transition","farm",1.916666667,0,37.37,1.916666667,0
"70","A64397","8",NA,NA,NA,33,1089,2014,NA,NA,0,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,0,"0",NA,NA,NA,NA,0,"transition","farm",NA,NA,NA,NA,NA
"71","A64407","5",27.116666667,"19.866666667",NA,28.7,823.69,2014,NA,NA,0,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,0,"0",NA,NA,NA,NA,0,"transition","farm",1.583333333,0,28.7,1.583333333,0
"72","A64413","8",37,"15.66666667",37,66,4356,2014,NA,NA,0,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,0,"0",NA,NA,NA,NA,0,"transition","farm",29,0,66,29,0
"73","A64414","5",31.83,"20.41333333",31.83,33.83,1144.4689,2014,NA,NA,0,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,0,"0",NA,NA,NA,NA,0,"transition","farm",2,0,33.83,2,0
"79","A65339","2",25.75,"23.5",NA,27,729,2014,NA,NA,NA,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,0,"0",NA,NA,NA,NA,0,"transition","farm",1.25,0,27,1.25,0
"80","A65343","7",45.75,"27.58333333",45.75,48,2304,2014,NA,NA,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,4.942,"0",NA,NA,NA,NA,0,"transition","farm",2.25,0,48,2.25,0
"81","A65345","0",NA,NA,NA,20,400,2014,NA,NA,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",0,"low",NA,NA,NA,4.942,"0",NA,NA,NA,NA,0,"transition","farm",NA,NA,NA,NA,0
"84","A66002","7",37.333333333,"25",NA,38,1444,2014,2.71,0.457490642786522,0,"HG","Agta",0,"0",0,0,0,0,0.0833333333333333,0.916666666666667,0,0,-0.479188828588927,-0.710686284614282,-0.562018514638721,1.34703837748787,0,0,0.0416666666666667,0,0,0.958333333333333,-0.510439117576417,-0.757588851553124,-0.618956764646341,0,0,1.4106189427104,"village",50,"low",NA,NA,NA,2.471,"0",0,0,0.564102564102564,0.435897435897436,0,"transition","farm",0.666666667000001,0,38,0.666666667000001,0
"85","A66010","0",NA,NA,NA,23,529,2014,2.9,0.611527896249997,0,"HG","Agta",0,"0",0,0,0,0,0.166666666666667,0.833333333333333,0,0,-0.479188828588927,-0.710686284614282,-0.315600351571517,1.13139626673628,0,0,0.166666666666667,0,0,0.833333333333333,-0.510439117576417,-0.757588851553124,-0.168338410289207,0,0,1.05400475634122,"village",0,"low",NA,NA,NA,6.1775,"0",0.0294117647058824,0.0294117647058824,0.529411764705882,0.411764705882353,0,"transition","farm",NA,NA,NA,NA,0
"86","A66014","5",48.5,"33.33",48.5,58,3364,2014,2.9,0.611527896249997,0,"HG","Agta",0,"0",0,0,0,0,0.5,0.5,0,0,-0.479188828588927,-0.710686284614282,0.670072300697298,0.268827823729923,0,0,0.25,0,0,0.75,-0.510439117576417,-0.757588851553124,0.132073825948882,0,0,0.816261965428427,"village",0,"low",NA,NA,NA,6.1775,"0",0.0294117647058824,0.0294117647058824,0.529411764705882,0.411764705882353,0,"transition","farm",9.5,0,58,9.5,0
"87","A66017","7",39.166666667,"22.66666667",NA,42,1764,2014,3.24,0.887173507710953,0,"HG","Agta",0,"0",0,0,0,0,0,1,0,0,-0.479188828588927,-0.710686284614282,-0.808436677705925,1.56268048823946,0,0,0,0,0,1,-0.510439117576417,-0.757588851553124,-0.769162882765386,0,0,1.52949033816679,"village",500,"low",NA,NA,NA,12.355,"0",0,0.0555555555555556,0.5,0.444444444444444,0,"transition","farm",2.833333333,0,42,2.833333333,0
"88","A66026","5",24.783333333,"16.45",NA,26.45,699.6025,2014,2.7,0.449383418920023,0,"HG","Agta",0,"0",0,0,0,0,1,0,0,0,-0.479188828588927,-0.710686284614282,2.14858127910052,-1.02502484077961,0,0.0625,0.6875,0,0,0.25,-0.510439117576417,-0.542337818460544,1.70923806619885,0,0,-0.610194780048304,"village",0,"low",NA,NA,NA,0,"0",0.0652173913043478,0,0.565217391304348,0.369565217391304,0,"transition","farm",1.666666667,0,26.45,1.666666667,0
"89","A66030","4",31.333333333,"22.916666667",NA,32,1024,2014,3.11,0.78177959744647,0,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,0,0,0,0,0,4.45590893369755,-0.757588851553124,-0.769162882765386,0,0,-1.32342315278667,"village",100,"low",NA,NA,NA,0,"0",NA,NA,NA,NA,0,"transition","farm",0.666666667000001,0,32,0.666666667000001,0
"90","A66035","1",18.51,"18.51",NA,19.91,396.4081,2014,2.43,0.230488374524558,0,"HG","Agta",0,"0",0,0,0,0,0.666666666666667,0.333333333333333,0,0,-0.479188828588927,-0.710686284614282,1.16290862683171,-0.162456397773255,0,0,0.333333333333333,0,0,0.666666666666667,-0.510439117576417,-0.757588851553124,0.432486062186971,0,0,0.578519174515638,"village",0,"low",NA,NA,NA,2.471,"0",0,0.027027027027027,0.540540540540541,0.432432432432432,0,"transition","farm",1.4,0,19.91,1.4,0
"91","A66041","4",22.583333333,"15.75",NA,25,625,2014,2.64,0.400740075721031,0,"HG","Agta",0,"0",0,0,0,0.25,0.25,0.5,0,0,-0.479188828588927,0.0668257332524055,-0.0691821885043136,0.268827823729923,0.0454545454545455,0.125,0.261363636363636,0,0,0.568181818181818,-0.284696024336691,-0.327086785367964,0.173039130890439,0,0,0.297550421618706,"village",100,"low",NA,NA,NA,2.471,"0",0.0263157894736842,0.131578947368421,0.657894736842105,0.184210526315789,0,"transition","farm",2.416666667,0,25,2.416666667,0
"92","A66047","2",21.33,"18.66666667",21.33,45,2025,2014,2.71,0.457490642786522,0,"HG","Agta",0,"0",0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,1.08713051314351,-0.710686284614282,0.17723597456289,-0.162456397773255,0.238095238095238,0,0.380952380952381,0,0,0.380952380952381,0.672024704155479,-0.757588851553124,0.604150197180165,0,0,-0.236598965756779,"village",20,"low",NA,NA,NA,9.884,"0",0.027027027027027,0.027027027027027,0.675675675675676,0.27027027027027,0,"transition","farm",23.67,0,45,23.67,0
"93","A66161","3",19.333333333,"17.833333333",NA,20,400,2014,2.05,-0.0775861324023929,0,"HG","Agta",0,"0",0,0,0,0,0.5,0.5,0,0,-0.479188828588927,-0.710686284614282,0.670072300697298,0.268827823729923,0,0,0.25,0,0,0.75,-0.510439117576417,-0.757588851553124,0.132073825948882,0,0,0.816261965428427,"village",0,"low",NA,NA,NA,1.2355,"0",0.0465116279069767,0.116279069767442,0.558139534883721,0.27906976744186,0,"transition","farm",0.666666667000001,0,20,0.666666667000001,0
"94","A66164","1",16.333333333,"16.333333333",NA,17,289,2014,1.76,-0.312695624530855,2,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",500,"low",NA,NA,NA,7.413,"0",0.0714285714285714,0.0571428571428571,0.671428571428571,0.2,0,"transition","farm",0.666666667000001,0,17,0.666666667000001,0
"95","A66169","7",44.33333333,"29",44.33333333,61,3721,2014,1.6,-0.442411206394834,0,"HG","Agta",0,"0",0,0,1,0,0,0,0,0,4.21976919660839,-0.710686284614282,-0.808436677705925,-1.02502484077961,0.833333333333333,0,0,0,0,0.166666666666667,3.62818425848522,-0.757588851553124,-0.769162882765386,0,0,-0.847937570961092,"village",20,"low",NA,NA,NA,1.2355,"0",0.075,0.1,0.6,0.225,0,"transition","farm",16.66666667,0,61,16.66666667,0
"96","A67049","9",35.083333333,"18",NA,36,1296,2014,2.18,0.0278077778620906,1,"HG","Agta",0,"0",0,0,0,0,0.333333333333333,0.666666666666667,0,0,-0.479188828588927,-0.710686284614282,0.17723597456289,0.700112045233102,0,0,0.166666666666667,0,0,0.833333333333333,-0.510439117576417,-0.757588851553124,-0.168338410289207,0,0,1.05400475634121,"camp",500,"low",NA,NA,NA,0,"0",0.0303030303030303,0.0303030303030303,0.575757575757576,0.363636363636364,0,"rural","HG",0.916666667000001,0,36,0.916666667000001,0
"97","A67056","1",21.333333333,"21.333333333",NA,22,484,2014,NA,NA,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"camp",300,"low",NA,NA,NA,1.2355,"0",0.0645161290322581,0,0.580645161290323,0.354838709677419,0,"rural","HG",0.666666667000001,0,22,0.666666667000001,0
"98","A67062","2",22,"17.583333333",NA,22,484,2014,NA,NA,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,1,-0.510439117576417,-0.757588851553124,-0.769162882765386,0,0,1.52949033816679,"camp",NA,"low",NA,NA,NA,NA,"0",NA,NA,NA,NA,0,"rural","HG",0,0,22,0,0
"100","A67072","3",21,"15.5",NA,23,529,2014,2.42,0.222381150658059,2,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"camp",NA,"low",NA,NA,NA,NA,"0",0.08,0,0.64,0.28,0,"rural","HG",2,0,23,2,0
"101","A67079","6",28.5,"16",NA,30,900,2014,2.19,0.0359150017285891,1,"HG","Agta",0,"0",0,0,0,0,1,0,0,0,-0.479188828588927,-0.710686284614282,2.14858127910052,-1.02502484077961,0,0,0.863636363636364,0,0,0.136363636363636,-0.510439117576417,-0.757588851553124,2.34420029279299,0,0,-0.934389494929379,"camp",300,"low",NA,NA,NA,1.2355,"0",0.0645161290322581,0,0.580645161290323,0.354838709677419,0,"rural","HG",1.5,0,30,1.5,0
"102","A67086","3",24,"19.083333333",NA,24,576,2014,1.43,-0.580234012125313,1,"HG","Agta",0,"0",0,0,0.333333333333333,0,0,0.666666666666667,0,0,1.08713051314351,-0.710686284614282,-0.808436677705925,0.700112045233102,0.333333333333333,0,0,0,0,0.666666666666667,1.14501023284824,-0.757588851553124,-0.769162882765386,0,0,0.578519174515638,"camp",0,"low",NA,NA,NA,1.2355,"0",0.037037037037037,0.037037037037037,0.592592592592593,0.333333333333333,0,"rural","HG",0,0,24,0,0
"103","A67088","6",43,"24.75",43,51,2601,2014,1.41,-0.59644845985831,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"camp",0,"low",NA,NA,NA,7.413,"0",0,0.0769230769230769,0.538461538461538,0.384615384615385,0,"rural","HG",8,0,51,8,0
"104","A67096","9",45.666666667,"31.66666667",45.666666667,55,3025,2014,2.42,0.222381150658059,1,"HG","Agta",0,"0",0,0,0.2,0,0.4,0.4,0,0,0.460602776450535,-0.710686284614282,0.374370505016653,0.0100572908280162,0.2,0,0.4,0,0,0.4,0.482830492678376,-0.757588851553124,0.672815851177442,0,0,-0.182257756405284,"camp",NA,"low",NA,NA,NA,NA,"0",0.08,0,0.64,0.28,0,"rural","HG",9.333333333,0,55,9.333333333,0
"106","A67113","10",38.83333333,"13.75",38.83333333,49,2401,2014,1.9,-0.199194490399873,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"camp",100,"low",NA,NA,NA,2.471,"0",0,0.135135135135135,0.513513513513513,0.351351351351351,0,"rural","HG",10.16666667,0,49,10.16666667,0
"108","A671208","5",NA,NA,NA,80,6400,2014,1.9,-0.199194490399873,1,"HG","Agta",0,"0",0,0,0,0,1,0,0,0,-0.479188828588927,-0.710686284614282,2.14858127910052,-1.02502484077961,0,0,1,0,0,0,-0.510439117576417,-0.757588851553124,2.83578395209168,0,0,-1.32342315278667,"camp",100,"low",NA,NA,NA,2.471,"0",0,0.135135135135135,0.513513513513513,0.351351351351351,0,"rural","HG",NA,NA,NA,NA,NA
"109","A67121","3",23.416666667,"16.666666667",NA,24,576,2014,1.59,-0.450518430261333,1,"HG","Agta",0,"0",0,0,0,0,1,0,0,0,-0.479188828588927,-0.710686284614282,2.14858127910052,-1.02502484077961,0,0,0.607142857142857,0,0,0.392857142857143,-0.510439117576417,-0.757588851553124,1.41955483839784,0,0,-0.202635709912095,"camp",100,"low",NA,NA,NA,0,"0",0.105263157894737,0.0526315789473684,0.605263157894737,0.236842105263158,0,"rural","HG",0.583333332999999,0,24,0.583333332999999,0
"110","A671215","10",42.5,"21",42.5,50,2500,2014,2.1,-0.0370500130698991,2,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"camp",5,"low",NA,NA,NA,1.2355,"0",0.05,0.05,0.6,0.3,0,"rural","HG",7.5,0,50,7.5,0
"111","A671216","0",NA,NA,NA,15,225,2014,2.1,-0.0370500130698991,2,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"camp",5,"low",NA,NA,NA,1.2355,"0",0.05,0.05,0.6,0.3,0,"rural","HG",NA,NA,NA,NA,0
"112","A671219","2",24.333333333,"22",NA,25,625,2014,0.77,-1.11531078731423,2,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"camp",0,"low",NA,NA,NA,0,"0",0,0,0.5,0.5,0,"rural","HG",0.666666667000001,0,25,0.666666667000001,0
"113","A671221","1",24.416666667,"24.416666667",NA,25,625,2014,1.15,-0.807236280387276,1,"HG","Agta",0,"0",0,0,0,0,1,0,0,0,-0.479188828588927,-0.710686284614282,2.14858127910052,-1.02502484077961,0,0,0.807692307692308,0,0,0.192307692307692,-0.510439117576417,-0.757588851553124,2.1425249453884,0,0,-0.774785942987926,"camp",0,"low",NA,NA,NA,0,"0",0.1,0,0.55,0.35,0,"rural","HG",0.583333332999999,0,25,0.583333332999999,0
"114","A67126","2",19.583333333,"18",NA,20,400,2014,1.45,-0.564019564392315,1,"HG","Agta",0,"0",0,0,0,0,1,0,0,0,-0.479188828588927,-0.710686284614282,2.14858127910052,-1.02502484077961,0,0,0.59375,0,0,0.40625,-0.510439117576417,-0.757588851553124,1.371274300431,0,0,-0.164427047086825,"camp",0,"low",NA,NA,NA,0,"0",0.0588235294117647,0.0588235294117647,0.588235294117647,0.294117647058824,0,"rural","HG",0.416666667000001,0,20,0.416666667000001,0
"115","A67131","0",NA,NA,NA,15,225,2014,1.25,-0.726164041722289,1,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"camp",100,"low",NA,NA,NA,2.471,"0",0.142857142857143,0,0.714285714285714,0.142857142857143,0,"rural","HG",NA,NA,NA,NA,0
"116","A67133","7",40.916666667,"25",NA,42,1764,2014,2.8,0.53045565758501,2,"HG","Agta",0,"0",0,0,0,0,0,1,0,0,-0.479188828588927,-0.710686284614282,-0.808436677705925,1.56268048823946,0,0,0.0769230769230769,0,0,0.923076923076923,-0.510439117576417,-0.757588851553124,-0.491859280084073,0,0,1.31003545424729,"camp",20,"low",NA,NA,NA,2.471,"0",0,0.0555555555555556,0.555555555555556,0.388888888888889,0,"rural","HG",1.083333333,0,42,1.083333333,0
"117","A67138","7",46.583333333,"28.75",46.583333333,53,2809,2014,1.68,-0.377553415462845,1,"HG","Agta",0,"0",0,0,0,0.25,0.375,0.375,0,0,-0.479188828588927,0.0668257332524055,0.300445056096492,-0.0546353423974606,0,0.25,0.375,0,0,0.375,-0.510439117576417,0.103415280817196,0.582692180306015,0,0,-0.253580593679121,"camp",0,"low",NA,NA,NA,2.471,"0",0.0476190476190476,0,0.619047619047619,0.333333333333333,0,"rural","HG",6.416666667,0,53,6.416666667,0
"118","A67143","7",40,"24.75",NA,43,1849,2014,1.79,-0.288373952931359,2,"HG","Agta",0,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"camp",0,"low",NA,NA,NA,4.942,"0",0.0714285714285714,0,0.571428571428571,0.357142857142857,0,"rural","HG",3,0,43,3,0
