"","ID","livebirths","ALB","AFB","ALBna","age","agesq","year","wealth","wealthz","mobility","subsist","population","edu","contra","propag","proppast","propcult","propHG","proplab","propfish","propagz","proppastz","propcultz","propHGz","proplabz","propfishz","unitpropcult","unitpropHG","unitproplab","unitpropag","unitproppast","unitpropfish","unitpropcultz","unitpropHGz","unitproplabz","unitpropagz","unitproppastz","unitpropfishz","residence","income","market","occ1","occ2","partocc","land","livestock","dietpropmarket","dietpropHG","dietpropfarm","dietpropfish","dietproppast","urban","residencesub","agediff","ageissue","age1","agediff1","ageissue2","propagmax","propcultmax","propfishmax","proppastmax","propHGmax","proplabmax","propfarmmax","occmax","subred","dietprop"
"1105","NI0678",0,NA,NA,NA,18,324,2013,38403,-0.315379748365479,0,"hort","Nicaragua",5,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",NA,"low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,"hort",NA
"1106","NI0680",1,NA,19,NA,21,441,2013,18203,-0.48458389131457,0,"hort","Nicaragua",8,"0",0,0,0.166666666666667,0.0833333333333333,0,0.75,0,0,-1.40746457456316,2.83860727156017,-0.470508880999783,1.34527838638772,0.448412698412698,0.156746031746032,0.0952380952380952,0,0,0.299603174603175,-1.02928313915946,1.9553638468997,-0.0254102218732453,0,0,0.321684554401416,"village",NA,"low","hort",NA,NA,NA,0.5,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,0,0,0.166666666666667,0.75,0,0.0833333333333333,0,0.166666666666667,"hort","hort",NA
"1107","NI0697",5,NA,18,NA,31,961,2013,65041,-0.092248067183407,0,"hort","Nicaragua",6,"0",0,0,1,0,0,0,0,0,1.53976022377671,-0.263241535548324,-0.470508880999783,-1.23161909182393,0.769230769230769,0.230769230769231,0,0,0,0,0.93711937014856,3.17207374259806,-0.85953893332743,0,0,-1.536503458292,"village",NA,"low","hort",NA,"hort",NA,0.333333333,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,1,0,0,0,0,1,"hort","hort",NA
"1108","NI0700",11,NA,19,NA,54,2916,2013,31169,-0.375974935003782,0,"hort","Nicaragua",0,"0",0,0,0.9,0.1,0,0,0,0,1.18609324797593,3.45897703298187,-0.470508880999783,-1.23161909182393,0.933333333333333,0.0333333333333333,0,0,0,0.0333333333333333,1.9429595119221,-0.0731549606501987,-0.85953893332743,0,0,-1.32976465952876,"village",NA,"low","hort",NA,NA,NA,1.25,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,0.9,0,0,0.1,0,0.9,"hort","hort",NA
"1109","NI0710",11,NA,18,NA,48,2304,2013,32303,-0.366476048959017,0,"hort","Nicaragua",0,"0",0,0,0.769230769230769,0.0769230769230769,0,0.153846153846154,0,0,0.723605664236439,2.60000351716721,-0.470508880999783,-0.703024737318975,0.666987179487179,0.00961538461538462,0.0125,0,0,0.310897435897436,0.310433813066999,-0.463003863313139,-0.750059539949068,0,0,0.391733414788228,"village",NA,"low","hort",NA,"hort",NA,1,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,0.769230769230769,0.153846153846154,0,0.0769230769230769,0,0.769230769230769,"hort","hort",NA
"1110","NI0716",10,NA,15,NA,34,1156,2013,38403,-0.315379748365479,0,"hort","Nicaragua",NA,"0",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,"village",NA,"low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"hort",NA
"1111","NI0719",11,NA,18,NA,52,2704,2013,40253,-0.299883329333013,0,"hort","Nicaragua",0,"0",0,0,0,0,0,1,0,0,-1.99690953423114,-0.263241535548324,-0.470508880999783,2.20424421245827,0.428439153439153,0.0349206349206349,0.0876984126984127,0,0,0.448941798941799,-1.15170775462954,-0.04706468659811,-0.091445411530035,0,0,1.24790718854308,"village",NA,"low","hort",NA,"hort",NA,0,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,0,1,0,0,0,0,"hort","hort",NA
"1112","NI0724",0,NA,NA,NA,15,225,2013,84606,0.0716370346383231,0,"hort","Nicaragua",6,"0",0,0,1,0,0,0,0,0,1.53976022377671,-0.263241535548324,-0.470508880999783,-1.23161909182393,0.511781609195402,0.0258620689655172,0.309003831417624,0,0,0.153352490421456,-0.640873643218414,-0.195959181619513,1.84682522788786,0,0,-0.585386168579505,"village",NA,"low","hort",NA,NA,NA,0,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,0,0,1,0,0,0,0,1,"hort","hort",NA
"1113","NI0731",7,NA,16,NA,29,841,2013,56684,-0.162249998996553,0,"hort","Nicaragua",5,"0",0,0,0.333333333333333,0,0,0.666666666666667,0,0,-0.818019614895188,-0.263241535548324,-0.470508880999783,1.05895644436421,0.666666666666667,0,0,0,0,0.333333333333333,0.308469281540098,-0.621050715744061,-0.85953893332743,0,0,0.53088452934041,"village",NA,"low","hort",NA,"hort",NA,1,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,0.333333333333333,0.666666666666667,0,0,0,0.333333333333333,"hort","hort",NA
"1114","NI0764",0,NA,NA,NA,19,361,2013,111881,0.300104509833196,0,"hort","Nicaragua",8,"0",0,0,0.666666666666667,0,0,0.333333333333333,0,0,0.360870304440762,-0.263241535548324,-0.470508880999783,-0.0863313237298617,0.488492063492063,0.00952380952380952,0.29047619047619,0,0,0.211507936507937,-0.783623149176448,-0.464509071431529,1.68455363660783,0,0,-0.224696556615722,"village",NA,"low","hort",NA,NA,NA,1.75,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,0,0,0.666666666666667,0.333333333333333,0,0,0,0.666666666666667,"hort","hort",NA
"1115","NI0766",1,NA,15,NA,18,324,2013,17186,-0.493102733561066,0,"hort","Nicaragua",6,"0",0,0,0.5,0,0,0.5,0,0,-0.228574655227213,-0.263241535548324,-0.470508880999783,0.486312560317172,0.732142857142857,0,0.107142857142857,0,0,0.160714285714286,0.709795007749964,-0.621050715744061,0.0788558670585278,0,0,-0.53972710711209,"village",NA,"low","hort",NA,NA,NA,0,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,0,0,0.5,0.5,0,0,0,0.5,"hort","hort",NA
"1116","NI0767",11,NA,17,NA,33,1089,2013,32159,-0.367682256710733,0,"hort","Nicaragua",0,"0",0,0,0.8,0,0,0.2,0,0,0.832426272175142,-0.263241535548324,-0.470508880999783,-0.544446430967488,0.784615384615385,0,0.0769230769230769,0,0,0.138461538461538,1.03141688343983,-0.621050715744061,-0.185819589460589,0,0,-0.67774229419854,"village",NA,"low","hort",NA,"hort",NA,0,NA,NA,NA,NA,NA,"transition","farm",NA,NA,NA,NA,NA,0,0.8,0.2,0,0,0,0.8,"hort","hort",NA
